"id";"title";"body"
1;"percorso museo";"pulire il percorso "
2;"Prenotazione per il museo sacro e profano";"si richiede si richiede prenotazione per il museo sacro e profano in oggetto per il 14/03/2026. grazie"
3;"accoglienza";"pulizia urgente in prossimità della saletta. grazie"
4;"intercinta";"Verifica plafoniera via di fuga penzolante fronte 1 braccio"
5;"Modifica fattura";"si richiede modifica fattura per importo errato"
6;"prenotazione visita";"pavrei bisogno di prenotare il ricovero antiaereo per aprile per 40 visitatori"
7;"Modifica intestazione della fattura ";"richiedo la modifica dell’intestazione della fattura perché deve essere intestata all’ente"
8;"rimborso pagamento parziale";"si richiede rimborso parziale della fattura emessa di 2 biglietti interi"
9;"Prentoazione per il museo ";"si richiede si richiede prenotazione per il museo in oggetto per il 14/03/2026. graize"
10;"percorso museo";"si segnala che il percorso museale ha bisogno di una pulita"
