id,title,body,category,priority
1,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
2,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,alta
3,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,bassa
4,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,bassa
5,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,media
6,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,bassa
7,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,media
8,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,media
9,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,bassa
10,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,alta
11,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,bassa
12,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
13,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
14,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
15,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
16,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
17,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,media
18,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,media
19,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
20,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,bassa
21,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
22,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,media
23,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
24,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
25,Sito non raggiungibile,La pagina principale non si carica,Tecnico,media
26,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,media
27,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
28,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
29,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
30,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,bassa
31,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
32,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
33,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
34,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
35,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,media
36,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
37,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
38,Pagamento non registrato,Ho pagato la fattura ma il sistema non lo segnala,Amministrazione,alta
39,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,alta
40,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
41,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
42,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,media
43,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
44,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,media
45,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
46,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,media
47,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
48,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
49,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
50,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
51,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,bassa
52,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,bassa
53,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
54,Sito non raggiungibile,La pagina principale non si carica,Tecnico,media
55,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
56,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,bassa
57,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
58,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
59,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
60,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,media
61,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
62,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,alta
63,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,bassa
64,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,alta
65,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
66,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,bassa
67,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,alta
68,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
69,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,media
70,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
71,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,bassa
72,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,media
73,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,alta
74,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,media
75,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,bassa
76,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
77,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
78,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,alta
79,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,media
80,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
81,Cambio intestazione fattura,Serve correggere l’intestazione della fattura già ricevuta,Amministrazione,media
82,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
83,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,media
84,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
85,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
86,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
87,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
88,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
